DealerCommunityActivated	Account_Number	HDID	Date	Name	ADD1	ADD2	City	State	Zip	Country	Phone	Lead_SMS_Phone	Request_A_Consultation	Lead_SMS_Notification	ShopAtHome	Rank	Email	Lead_Email	Website	HD_Website	HD_Website2	GalleryImage	Criteria_1	Criteria_2	Criteria_3	Criteria_4	Hours	Hours_Fr	By_Appointment_Only
true	10060786|1000|01|00	256385	11/21/2019	Ricciardi Brothers Inc	145 South St		Morristown	NJ	07960-4141	US	(973) 538-3222		false	false	B	B	dara@ricciardibrothers.com	meg@ricciardibrothers.com, robert@ricciardibrothers.com, ricciardidesign@yahoo.com, dara@ricciardibrothers.com		www.ricciardibrothersparsippany.com	www.ricciardibrothersparsippany.com						M-F: 7:00 am - 6:00 pm, Sat: 8:00 am - 5:00 pm, Sun: 9:00 am - 3:00 pm, 	LUN-VEN: 07H00 - 18H00, SAM: 08H00 - 17H00, DIM: 09H00 - 15H00, 	false
true	10049551|1000|01|00	239226	11/21/2019	Rodda Paint	10120 SW Park Way		Portland	OR	97225-5008	US	(503) 292-1515		false	false	S	A	sholbrook@roddapaint.com	ch04@roddapaint.com, sholbrook@roddapaint.com									Please call for store hours.<br/>(503) 292-1515	Appelez pour les heures de magasin.<br/>(503) 292-1515	false
true	10027421|1000|01|00	247020	11/21/2019	Magic Carpet	511 19th St		Sioux City	IA	51105-1045	US	(712) 277-0575		false	false	B	A	wallofwindows@yahoo.com	wallofwindows@yahoo.com, carpet3333@aol.com									Please call for store hours.<br/>(712) 277-0575	Appelez pour les heures de magasin.<br/>(712) 277-0575	false
true	10028748|1010|01|00		11/21/2019	Poetry Homes Ltd	9259 35 Ave NW		Edmonton	AB	T6E 5Y1	CA	(780) 718-0779		false	false	H	A	l.olafson@shaw.ca	l.olafson@shaw.ca		poetryhomes.hunterdouglas.ca	poetryhomes.hunterdouglas.ca						M-F: By Appointment Only, Sat: By Appointment Only, Sun: By Appointment Only, 	LUN-VEN: Sur rendez-vous uniquement, SAM: Sur rendez-vous uniquement, DIM: Sur rendez-vous uniquement, 	false
true	10028750|1000|01|00	2948986	11/21/2019	Your Remodeling Connection	7625 W Hampden Ave	Unit 16	Lakewood	CO	80227-5180	US	(720) 353-4065		false	false	B	B	jason@yourremodelingconnection.com	sales@yourremodelingconnection.com, jason@yourremodelingconnection.com, info@yourremodelingconnection.com		www.remodelingconnection.com	www.remodelingconnection.com						M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 5:00 pm, Sun: By Appointment Only, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 17H00, DIM: Sur rendez-vous uniquement, 	false
true	10028763|1000|01|00	235483	11/21/2019	Davis Salsbury Floor Covering, Inc	300 W McArtor Rd		Dodge City	KS	67801-6099	US	(620) 227-6471		false	false	B	A	admin@dsalsbury.kscoxmail.com	admin@dsalsbury.kscoxmail.com									Please call for store hours.<br/>(620) 227-6471	Appelez pour les heures de magasin.<br/>(620) 227-6471	false
true	10029160|1000|01|00	256417	11/21/2019	Fabulous Interiors LLC	470 Prospect Ave	Ste 105	West Orange	NJ	07052-4106	US	(973) 736-1200		false	false	B	A	anne@fabulousinteriorsnj.com	anne@fabulousinteriorsnj.com, sales@fabulousinteriorsnj.com									Please call for store hours.<br/>(973) 736-1200	Appelez pour les heures de magasin.<br/>(973) 736-1200	false
true	10029172|1000|01|00	3009849	11/21/2019	Atmosphere Shades	2221 S Sepulveda Blvd		Los Angeles	CA	90064-1811	US	(310) 473-9322		false	false	S	B	atmosphereinteriorsinc@gmail.com	atmosphereinteriorsinc@gmail.com		www.atmosphereshades.com	www.atmosphereshades.com					Centurion	M-F: 10:00 am - 5:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10029413|1000|01|00	701603	11/21/2019	Designing Interiors	1280 Iroquois Ave	Ste 400	Naperville	IL	60563-8570	US	(630) 236-2000		false	false	H	A	maria@mariadiinc.com	maria@mariadiinc.com									Please call for appointment.<br/>(630) 236-2000	Veuillez appeler pour une consultation.<br/>(630) 236-2000	false
true	10029412|1000|01|00	249530	11/21/2019	Decorama Inc	6037 W Belmont Ave		Chicago	IL	60634-5160	US	(773) 412-8483		false	false	B	A	decorama1@sbcglobal.net	decorama1@sbcglobal.net									Please call for store hours.<br/>(773) 412-8483	Appelez pour les heures de magasin.<br/>(773) 412-8483	false
true	10029260|1000|01|00	2284998	11/21/2019	Fredericksburg Flooring Center	401 S Lincoln St		Fredericksburg	TX	78624-4502	US	(830) 997-8375		false	false	S	A	fbgflooring@gmail.com	fbgflooring@gmail.com									Please call for store hours.<br/>(830) 997-8375	Appelez pour les heures de magasin.<br/>(830) 997-8375	false
true	10030005|1000|01|00	3059977	11/21/2019	Budget Blinds Of Point Loma	9069 Elbert Ter		San Diego	CA	92126-1518	US	(858) 935-9187		false	false	B	A	jbarrett@budgetblinds.com	jbarrett@budgetblinds.com, jbarrett@budgetblinds.com									Please call for store hours.<br/>(858) 935-9187	Appelez pour les heures de magasin.<br/>(858) 935-9187	false
true	10030115|1000|01|00	1439118	11/21/2019	Window Fashions By Michele	3283 Beckie Dr SW		Wyoming	MI	49418-9004	US	(616) 430-5670		false	false	H	A	michele@windowfashionsbymichele.com	michele@windowfashionsbymichele.com									Please call for appointment.<br/>(616) 430-5670	Veuillez appeler pour une consultation.<br/>(616) 430-5670	false
true	10030121|1000|01|00	1418565	11/21/2019	Choice Designs Inc	3223 Carroll Rd		Fort Wayne	IN	46818-8633	US	(260) 490-6393		false	false	B	A	jscheumann@choicedesignsinc.com	jscheumann@choicedesignsinc.com									Please call for store hours.<br/>(260) 490-6393	Appelez pour les heures de magasin.<br/>(260) 490-6393	false
true	10031373|1000|01|00	426944	11/21/2019	Maduri Interiors	706 Mamaroneck Ave		White Plains	NY	10605-2508	US	(914) 741-0814		false	false	H	A	thecurtainwoman@aol.com	thecurtainwoman@aol.com									Please call for appointment.<br/>(914) 741-0814	Veuillez appeler pour une consultation.<br/>(914) 741-0814	false
true	10031397|1000|01|00	1329570	11/21/2019	Design Studio Of Somerville	67 W Main St		Somerville	NJ	08876-2215	US	(908) 685-1921		false	false	B	A	tsfisco@design-sos.com	tsfisco@design-sos.com, cstabile@design.sos.com									Please call for store hours.<br/>(908) 685-1921	Appelez pour les heures de magasin.<br/>(908) 685-1921	false
true	10031401|1000|01|00	247929	11/21/2019	Pete & Sons	3649 Bell Blvd		Bayside	NY	11361-2056	US	(718) 229-3378		false	false	S	A	virgil235@aol.com	virgil235@aol.com									Please call for store hours.<br/>(718) 229-3378	Appelez pour les heures de magasin.<br/>(718) 229-3378	false
true	10031381|1000|01|00	245092	11/21/2019	New Park Paint & Design	1601 Hillside Ave		New Hyde Park	NY	11040-2603	US	(516) 354-2627		false	false	B	A	newparkpaint@yahoo.com	newparkpaint@yahoo.com									Please call for store hours.<br/>(516) 354-2627	Appelez pour les heures de magasin.<br/>(516) 354-2627	false
true	10031379|1000|01|00	252822	11/21/2019	Nautical Needles & Decorative Inter	500 Main St	Ste 6	Deep River	CT	06417-2000	US	(860) 399-9754		false	false	S	A	sales@eileenandtaylor.com	sales@eileenandtaylor.com									Please call for store hours.<br/>(860) 399-9754	Appelez pour les heures de magasin.<br/>(860) 399-9754	false
true	10026291|1000|01|00	242993	11/21/2019	Dave Griggs Flooring America	801 Business Loop 70 E		Columbia	MO	65201	US	(573) 449-2619		false	false	B	A	michele@carpetandtile.com	michele@carpetandtile.com, dg@carpetandtile.com									Please call for store hours.<br/>(573) 449-2619	Appelez pour les heures de magasin.<br/>(573) 449-2619	false
true	10027721|1000|01|00	245923	11/21/2019	Johnson Carpet Center	1825 Main St		Columbus	MS	39701-4983	US	(662) 328-1522		false	false	B	A	cindyjcarpet@cableone.net	cindyjcarpet@cableone.net									Please call for store hours.<br/>(662) 328-1522	Appelez pour les heures de magasin.<br/>(662) 328-1522	false
true	10028296|1000|01|00	2942773	11/21/2019	Grace Allen Blinds	1329 Sims Ave		Edmond	OK	73013-6353	US	(405) 509-5164		false	false	H	A	heather@graceallendesign.com	heather@graceallendesign.com, info@graceallenblinds.com									Please call for appointment.<br/>(405) 509-5164	Veuillez appeler pour une consultation.<br/>(405) 509-5164	false
true	10029482|1000|01|00	1817853	11/21/2019	Creative Interiors by Kim Foes	14711 200 East St		Mineral	IL	61344-9164	US	(309) 238-5510		false	false	H	A	foes@nbson.net	foes@nbson.net		www.creativeinteriorsil.com	www.creativeinteriorsil.com						M-F: 9:00 am - 5:00 pm, Sat: 9:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 09H00 - 17H00, DIM: Fermé, 	false
true	10030162|1000|01|00	3066200	11/21/2019	Budget Blinds of Southern Maine	30 York St		Kennebunk	ME	04043-7160	US	(207) 363-4900		false	false	B	B	kswanson@budgetblinds.com	kswanson@budgetblinds.com		www.budgetblindsofsouthernmaine.com	www.budgetblindsofsouthernmaine.com						M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
true	10030163|1000|01|00	2762624	11/21/2019	Unique Perspective Window Coverings	3304B Wrightsville Ave		Wilmington	NC	28403-4116	US	(910) 859-6707		false	false	S	A	aaron@upwindows.com	aaron@upwindows.com									Please call for store hours.<br/>(910) 859-6707	Appelez pour les heures de magasin.<br/>(910) 859-6707	false
true	10030412|1000|01|00	1106158	11/21/2019	Gotcha Covered	330 Swift Fox Ln		Charlottesville	VA	22901-5650	US	(434) 973-1300		false	false	H	B	debbieculp@gotchacovered.com	debbieculp@gotchacovered.com		www.gotchacoveredofcharlottesville.net	www.gotchacoveredofcharlottesville.net						M-F: 9:00 am - 6:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 09H00 - 18H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10030416|1000|01|00	2467601	11/21/2019	Gotcha Covered	629 Harvest Dr		York	PA	17404-7806	US	(717) 968-2236		false	false	H	A	michaelbillet@gotchacovered.com	michaelbillet@gotchacovered.com									Please call for appointment.<br/>(717) 968-2236	Veuillez appeler pour une consultation.<br/>(717) 968-2236	false
true	10030433|1000|01|00	2954600	11/21/2019	The Stem of Things	2179 W Pershing St		Appleton	WI	54914-6075	US	(920) 380-0636		false	false	B	A	stemofthings@newbc.rr.com	stemofthings@newbc.rr.com									Please call for store hours.<br/>(920) 380-0636	Appelez pour les heures de magasin.<br/>(920) 380-0636	false
true	10024748|1000|01|00	241581	11/21/2019	Tina's Interior Design Resources	2503 Castlewood Dr		Redding	CA	96002-5137	US	(530) 223-1195		false	false	H	B	tina@interiordesignresources.com	tina@interiordesignresources.com		www.tinasblindsandshutters.com	www.tinasblindsandshutters.com					Centurion	M-F: 7:30 am - 6:00 pm, Sat: 9:00 am - 2:00 pm, Sun: Closed, 	LUN-VEN: 07H30 - 18H00, SAM: 09H00 - 14H00, DIM: Fermé, 	false
true	10030010|1000|01|00	1106471	11/21/2019	ABC Shutters & Blinds, Inc.	15204 Weststate St		Westminster	CA	92683-6531	US	(714) 899-1884		false	false	B	B	lisaabcphan@yahoo.com	lisaabcphan@yahoo.com		www.abcshuttersandblinds.com	www.abcshuttersandblinds.com						M-F: 9:00 am - 6:00 pm, Sat: 9:00 am - 5:00 pm, Sun: By Appointment Only, 	LUN-VEN: 09H00 - 18H00, SAM: 09H00 - 17H00, DIM: Sur rendez-vous uniquement, 	false
true	10030015|1000|01|00	2286776	11/21/2019	Art of Living Design Studio	120 Walnut St		Mifflinburg	PA	17844-1173	US	(570) 966-1332		false	false	B	B	jjohnson@dejazzd.com	jjohnson@dejazzd.com		www.artoflivingdesignstudio.com	www.artoflivingdesignstudio.com						M: Closed, T-F: 9:30 am - 4:30 pm, Sat: 9:30 am - 4:30 pm, Sun: Closed, 	LUN: Fermé, MAR-VEN: 09H30 - 16H30, SAM: 09H30 - 16H30, DIM: Fermé, 	false
true	10030550|1000|01|00	606702	11/21/2019	DeWaard Interiors	16 W 16th St		Holland	MI	49423-3392	US	(616) 396-1463		false	false	B	A	christopher.dewaard@gmail.com	wendy.dewaardinteriors@gmail.com, jdewaard@sbcglobal.net		www.dewaardinteriors.com	www.dewaardinteriors.com						M-F: 9:00 am - 5:00 pm, Sat: 9:00 am - 1:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 09H00 - 13H00, DIM: Fermé, 	false
true	10028110|1000|01|00	251664	11/21/2019	The Inside Story	1324 S State Highway 16		Fredericksburg	TX	78624-5058	US	(830) 997-8413		false	false	S	A	insidestoryfbg@gmail.com	insidestoryfbg@gmail.com, andreabehrends@austin.rr.com								Centurion	Please call for store hours.<br/>(830) 997-8413	Appelez pour les heures de magasin.<br/>(830) 997-8413	false
true	10029375|1000|01|00	236654	11/21/2019	Blind King	425 Atwells Ave		Providence	RI	02909-1030	US	(401) 521-1611	(401) 486-2679	true	true	B	C	jpmurray1611@aol.com	theblindkingri@gmail.com		www.blindkingri.com	www.blindkingri.com						M-W: 8:00 am - 5:00 pm, Th: 8:00 am - 7:00 pm, F: 8:00 am - 5:00 pm, Sat: 8:00 am - 1:00 pm, Sun: Closed, 	LUN-MER: 08H00 - 17H00, JEU: 08H00 - 19H00, VEN: 08H00 - 17H00, SAM: 08H00 - 13H00, DIM: Fermé, 	false
true	10052983|1000|01|00	249539	11/21/2019	Bee Pee Sales	6552 N Christiana Ave		Lincolnwood	IL	60712-3812	US	(773) 262-1673		false	false	H	A	alan@beepee.com	alan@beepee.com									Please call for appointment.<br/>(773) 262-1673	Veuillez appeler pour une consultation.<br/>(773) 262-1673	false
true	10029484|1000|01|00	646361	11/21/2019	J & I Interiors	18105 Fort St		Riverview	MI	48193-7433	US	(734) 284-4700		false	false	B	A	ingridinezo@gmail.com	ingridinezo@gmail.com, ingridezo@gmail.com									Please call for store hours.<br/>(734) 284-4700	Appelez pour les heures de magasin.<br/>(734) 284-4700	false
true	10030167|1000|01|00	256922	11/21/2019	Motsinger's Ethan Allen	55 Springside Dr		Akron	OH	44333-2477	US	(330) 666-8833		true	false	B	B	billmots@aol.com	billmots@aol.com, sgea87@gmail.com		www.motsingersethanallen.hdwfdealer.com	Click here to visit this dealer's website					Centurion	M-F: 10:00 am - 6:00 pm, Sat: 10:00 am - 6:00 pm, Sun: 12:00 pm - 5:00 pm, 	LUN-VEN: 10H00 - 18H00, SAM: 10H00 - 18H00, DIM: 12H00 - 17H00, 	false
true	10031150|1000|01|00	2298463	11/21/2019	Tracker Home Decor	89 Peases Point Way S		Edgartown	MA	02539-8207	US	(508) 627-8725		false	false	B	B	helen@trackerhomedecor.com	helen@trackerhomedecor.com		www.windowtreatmentsmarthasvineyard.com	www.windowtreatmentsmarthasvineyard.com					Centurion	M-F: 10:00 am - 5:00 pm, Sat: 10:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 17H00, SAM: 10H00 - 17H00, DIM: Fermé, 	false
true	10031964|1000|01|00	3217861	11/21/2019	Studiokaza LLC	3401 N Miami Ave	Loft 224/225	Miami	FL	33127-3525	US	(305) 306-5007		false	false	S	A	carla@studiokaza.com	carla@studiokaza.com									Please call for appointment.<br/>(305) 306-5007	Veuillez appeler pour une consultation.<br/>(305) 306-5007	false
false	10045434|1010|01|00		11/21/2019	Decorview	1123 10 St S		Lethbridge	AB	T1K 1P3	CA	(866) 222-3784		false		H	A	customerservice@customdecorators.com									Centurion	Please call for appointment.<br/>(866) 222-3784	Veuillez appeler pour une consultation.<br/>(866) 222-3784	false
false	10045439|1010|01|00		11/21/2019	Decorview	303 Canterbury Pl SW		Calgary	AB	T2W 2B5	CA	(866) 222-3784		false		H	A	customerservice@customdecorators.com									Centurion	Please call for appointment.<br/>(866) 222-3784	Veuillez appeler pour une consultation.<br/>(866) 222-3784	false
true	10049535|1000|01|00	256334	11/21/2019	Ricciardi Brothers Inc	160 US Highway 46		Parsippany	NJ	07054-2312	US	(973) 276-0400		false	false	B	B	erin@ricciardibrothers.com	joanne@ricciardibrothers.com, robert@ricciardibrothers.com, sixto@ricciardibrothers.com, erin@ricciardibrothers.com		www.ricciardibrothersparsippany.com	www.ricciardibrothersparsippany.com						M-F: 7:00 am - 6:00 pm, Sat: 7:00 am - 5:00 pm, Sun: 9:00 am - 3:00 pm, 	LUN-VEN: 07H00 - 18H00, SAM: 07H00 - 17H00, DIM: 09H00 - 15H00, 	false
true	10036618|1000|01|00	267906	11/21/2019	ALMANOR FLOORING INC	604 MAIN ST		CHESTER	CA	96020	US	(530) 258-2893		false	false	B	B	tahdah@frontiernet.net	tahdah@frontiernet.net		www.almanorflooring.com	www.almanorflooring.com					Centurion	M-F: 9:00 am - 5:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
true	10043725|1000|01|00	237172	11/21/2019	Mr. Miniblind & Design	1720 10th Ave S	Ste 4-250	Great Falls	MT	59405-2680	US	(406) 799-7490		false	false	H	A	mrminianddesign@yahoo.com	mrminianddesign@yahoo.com									Please call for appointment.<br/>(406) 799-7490	Veuillez appeler pour une consultation.<br/>(406) 799-7490	false
true	10029081|1000|01|00	3320723	11/21/2019	K Decor Inc	1213 S Washington St		Wheaton	IL	60189-6547	US	(847) 650-9199		false	false	H	A	krista@kdecorinc.com	krista@kdecorinc.com									Please call for appointment.<br/>(847) 650-9199	Veuillez appeler pour une consultation.<br/>(847) 650-9199	false
true	10029101|1000|01|00	232946	11/21/2019	Lowell Carpet & Coverings	317 E Commercial Ave		Lowell	IN	46356-1707	US	(219) 696-8800		false	false	B	A	lowellcarpet@gmail.com	lowellcarpet@gmail.com									Please call for store hours.<br/>(219) 696-8800	Appelez pour les heures de magasin.<br/>(219) 696-8800	false
true	10030014|1000|01|00	1940221	11/21/2019	Budget Blinds Of Altoona	1002 Logan Blvd.		Altoona	Pa	16602	US	(814) 467-4467		false	false	H	A	mgmilne@budgetblinds.com	mgmilne@budgetblinds.com									Please call for appointment.<br/>(814) 467-4467	Veuillez appeler pour une consultation.<br/>(814) 467-4467	false
true	10029901|1000|01|00	646349	11/21/2019	Seymour Decorating Center, Inc	220 S Chestnut St		Seymour	IN	47274-2391	US	(812) 522-4164		false	false	B	A	seydecor@frontier.com	seydecor@frontier.com									Please call for store hours.<br/>(812) 522-4164	Appelez pour les heures de magasin.<br/>(812) 522-4164	false
true	10030742|1010|01|00		11/21/2019	Ethical Flooring Ltd	2270 Dollarton Hwy	Suite 110	North Vancouver	BC	V7H 1A8	CA	(604) 987-0440		false	false	B	A	tanya@ethicalflooring.com	tanya@ethicalflooring.com									Please call for store hours.<br/>(604) 987-0440	Appelez pour les heures de magasin.<br/>(604) 987-0440	false
true	10030646|1000|01|00	251965	11/21/2019	Westrock Window Designs	34 Norm Ave		Bedford Hills	NY	10507-1514	US	(914) 277-4229		false	false	H	B	westrock1979@optonline.net	westrock1979@optonline.net		www.westrockwindowdesigns.com	www.westrockwindowdesigns.com						M-F: 7:00 am - 9:00 pm, Sat: 7:00 am - 9:00 pm, Sun: 7:00 am - 9:00 pm, 	LUN-VEN: 07H00 - 21H00, SAM: 07H00 - 21H00, DIM: 07H00 - 21H00, 	false
true	10030649|1000|01|00	1354921	11/21/2019	Window Expressions By Laura	25 Folly Mill Ter		Seabrook	NH	03874-4037	US	(603) 814-1684		false	false	H	A	windowexpressionsbylaura@gmail.com	windowexpressionsbylaura@gmail.com									Please call for appointment.<br/>(603) 814-1684	Veuillez appeler pour une consultation.<br/>(603) 814-1684	false
true	10028359|1000|01|00	240573	11/21/2019	Interior Selections	8605 Dawnridge Cir		Austin	TX	78757-6805	US	(512) 689-8516		false	false	H	A	lori@interiorselections-austin.com	lori@interiorselections-austin.com									Please call for appointment.<br/>(512) 689-8516	Veuillez appeler pour une consultation.<br/>(512) 689-8516	false
true	10038514|1000|01|00	500791	11/21/2019	The Shade Shop Inc	4122 Richmond Ave		Houston	TX	77027-6820	US	(713) 623-0750		false	false	B	B	sara@theshadeshop.net	sara@theshadeshop.net, mitch@theshadeshop.net		www.theshadeshophouston.com	www.theshadeshophouston.com						M-F: 9:00 am - 6:00 pm, Sat: 12:00 pm - 4:00 pm, Sun: Closed, 	LUN-VEN: 09H00 - 18H00, SAM: 12H00 - 16H00, DIM: Fermé, 	false
true	10006605|1000|01|00	251327	11/21/2019	Kite's Draperies	2711 White Settlement Rd		Fort Worth	TX	76107-1392	US	(817) 336-1027		false	false	B	A	julie@kitesinteriors.com	julie@kitesinteriors.com									Please call for store hours.<br/>(817) 336-1027	Appelez pour les heures de magasin.<br/>(817) 336-1027	false
true	10029383|1000|01|00	1568233	11/21/2019	Blind Ambition	1048 Arbor Ln		Glenview	IL	60025-3238	US	(847) 845-0970		false	false	H	A	ricalmitc@yahoo.com	ricalmitc@yahoo.com									Please call for appointment.<br/>(847) 845-0970	Veuillez appeler pour une consultation.<br/>(847) 845-0970	false
true	10029245|1000|01|00	623614	11/21/2019	Nantucket Housefitters	14 Sparks Ave		Nantucket	MA	02554-3954	US	(508) 228-2815		false	false	B	B	natalie@housefitters.com	natalie@housefitters.com		www.nantucketblinds.com	www.nantucketblinds.com						M-F: 8:30 am - 4:00 pm, Sat: 9:00 am - 12:00 pm, Sun: Closed, 	LUN-VEN: 08H30 - 16H00, SAM: 09H00 - 12H00, DIM: Fermé, 	false
true	10029518|1000|01|00	279190	11/21/2019	CMI Interiors, Inc	15 Brown Ave		Springfield	NJ	07081-2901	US	(973) 912-0922		false	false	S	B	jes@cmiinteriorsinc.com	gary@cmiinteriorsinc.com, jes@cmiinteriorsinc.com		www.cmiinteriorsny.com	www.cmiinteriorsny.com						M-F: By Appointment Only, Sat: Closed, Sun: Closed, 	LUN-VEN: Sur rendez-vous uniquement, SAM: Fermé, DIM: Fermé, 	true
true	10030174|1000|01|00	2933818	11/21/2019	Budget Blinds Of Bryan	7750 Elmo Weedon Rd		Bryan	TX	77808-7554	US	(979) 820-5000		false	false	H	A	csstrong@budgetblinds.com	csstrong@budgetblinds.com									Please call for appointment.<br/>(979) 820-5000	Veuillez appeler pour une consultation.<br/>(979) 820-5000	false
true	10030176|1000|01|00	244489	11/21/2019	Light Source Etc.	3700 Niles Rd		Saint Joseph	MI	49085-8641	US	(269) 983-0388		true	false	B	B	mdpinstallations@gmail.com	gail@lightsourceetc.com, theresa@lightsourceetc.com		www.lightsourceblinds.com	www.lightsourceblinds.com					Centurion	M-Th: 10:00 am - 6:00 pm, F: 10:00 am - 5:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-JEU: 10H00 - 18H00, VEN: 10H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
true	10030189|1000|01|00	3058344	11/21/2019	Budget Blinds Of East Mesa	4531 E Tremaine Ave		Gilbert	AZ	85234-7616	US	(480) 497-7247		false	false	B	A	smglaza@budgetblinds.com	smglaza@budgetblinds.com									Please call for store hours.<br/>(480) 497-7247	Appelez pour les heures de magasin.<br/>(480) 497-7247	false
true	10030190|1000|01|00	3071992	11/21/2019	Budget Blinds Of Los Angeles	819 N Alexandria Ave		Los Angeles	CA	90029-2503	US	(323) 459-3354		false	false	H	A	mirzoyanp@yahoo.com	phillip@budgetblinds.com									Please call for appointment.<br/>(323) 459-3354	Veuillez appeler pour une consultation.<br/>(323) 459-3354	false
true	10006480|1000|01|00	1595859	11/21/2019	Calico Corners	5128 E 82nd St		Indianapolis	IN	46250-1626	US	(317) 595-7400		false	false	B	A	manager@calicoindy.com	bhanson@calicoindy.com, manager@calicoindy.com									Please call for store hours.<br/>(317) 595-7400	Appelez pour les heures de magasin.<br/>(317) 595-7400	false
true	10030047|1000|01|00	2197672	11/21/2019	Bugsy's Blinds and Custom Shutters	6335 Dean Martin Dr		Las Vegas	NV	89118-3842	US	(702) 454-3001		false	false	B	B	info@bugsysblinds.com	info@bugsysblinds.com, karen@bugsysblinds.com, finance@bugsysblinds.com		www.bugsysblindsandcustomshutters.com	www.bugsysblindsandcustomshutters.com						M-F: 8:00 am - 5:00 pm, Sat: 10:00 am - 5:00 pm, Sun: 12:00 pm - 5:00 pm, 	LUN-VEN: 08H00 - 17H00, SAM: 10H00 - 17H00, DIM: 12H00 - 17H00, 	false
true	10030048|1000|01|00	3200944	11/21/2019	Interior Reflections	10915 SW Brown St		Tualatin	OR	97062-8370	US	(503) 880-4194		false	false	H	A	pasumamu@gmail.com	pasumamu@gmail.com		www.blinds-ir.com	www.blinds-ir.com						M-F: By Appointment Only, Sat: By Appointment Only, Sun: By Appointment Only, 	LUN-VEN: Sur rendez-vous uniquement, SAM: Sur rendez-vous uniquement, DIM: Sur rendez-vous uniquement, 	false
true	10006675|1000|01|00	232949	11/21/2019	Zeigler's Window Coverings	1829 Fairfield Ave		Fort Wayne	IN	46802-5109	US	(260) 744-2111		true	false	B	C	tzeigler@zeiglerswindowcoverings.com	tzeigler@zeiglerswindowcoverings.com, tgorney@zeiglerswindowcoverings.com		www.zeiglerswindowcoverings.com	www.zeiglerswindowcoverings.com						M-Th: 9:00 am - 5:00 pm, F: 9:00 am - 12:00 pm, Sat: 10:00 am - 2:00 pm, Sun: Closed, 	LUN-JEU: 09H00 - 17H00, VEN: 09H00 - 12H00, SAM: 10H00 - 14H00, DIM: Fermé, 	false
true	10030248|1000|01|00	3071435	11/21/2019	Builders Supply Of Delmarva	21528 Baltimore Ave		Georgetown	DE	19947-6376	US	(302) 855-0919		false	false	B	A	rebecca@bsdshowroom.com	andy@bsdshowroom.com, adele@bsdshowroom.com, briana@bsdshowroom.com, rhonda@bsdshowroom.com, rebecca@bsdshowroom.com									Please call for store hours.<br/>(302) 855-0919	Appelez pour les heures de magasin.<br/>(302) 855-0919	false
true	10030267|1000|01|00	2754624	11/21/2019	Shutter Masters	1409 Montvale Station Rd		Maryville	TN	37803-5815	US	(865) 984-3153		false	false	H	A	cwallace@shuttermasters.com	cwallace@shuttermasters.com									M-F: 8:00 am - 4:00 pm, Sat: Please call for appointment., Sun: Please call for appointment., 	LUN-VEN: 08H00 - 16H00, SAM: Veuillez appeler pour une consultation., DIM: Veuillez appeler pour une consultation., 	false
true	10030256|1010|01|00		11/21/2019	Lifestyle Window Fashions	1315 Bishop St N	#140	Cambridge	ON	N1R 6Z2	CA	(226) 533-9933		false	false	B	B	curtis@lswf.ca	curtis@lswf.ca		lifestylewindowfashions.hunterdouglas.ca	lifestylewindowfashions.hunterdouglas.ca						M-F: 10:00 am - 6:00 pm, Sat: 10:00 am - 5:00 pm, Sun: Closed, 	LUN-VEN: 10H00 - 18H00, SAM: 10H00 - 17H00, DIM: Fermé, 	false
true	10030459|1000|01|00	2908251	11/21/2019	Luce Custom Home Decor	159 Main St		Hackettstown	NJ	07840-2095	US	(908) 269-8129	9082462542	true	true	B	A	luce@lucedecor.com	luce@lucedecor.com, luce@lucedecor.com								Centurion	Please call for store hours.<br/>(908) 269-8129	Appelez pour les heures de magasin.<br/>(908) 269-8129	false
true	10030462|1000|01|00	3112385	11/21/2019	McNeill Palm	1191 N Eglin Pkwy	Ste C	Shalimar	FL	32579-1252	US	(850) 613-6228		true	false	S	B	tim@mcneillpalm.com	brenda@mcneillpalm.com, mcneillpalm@cox.net, stacey@mcneillpalm.com		www.gulfcoastshadeandshutter.com	www.gulfcoastshadeandshutter.com					Centurion	M-F: 9:00 am - 5:00 pm, Sat: By Appointment Only, Sun: Closed, 	LUN-VEN: 09H00 - 17H00, SAM: Sur rendez-vous uniquement, DIM: Fermé, 	false
